194,0,13608
194,0,13613
194,1,13604
193,0,13604
194,0,13609
194,0,13611
194,0,13610
193,1,13601
194,0,13606
193,0,13602
194,0,5901
194,0,5912
194,0,13607
194,0,13612
193,1,11011
193,0,10777
194,1,10755
193,1,10755
194,1,9343
200,0,8340
190,1,8340
200,0,8341
200,0,8342
200,0,8344
200,0,8346
200,0,8347
200,1,8347
200,1,8372
200,1,8373
200,1,8374
200,1,8376
194,1,11484
190,1,11498
190,0,11498
190,1,11499
190,1,11500
190,1,11502
190,1,11503
190,1,11505
190,1,11507
190,0,11508
190,0,11509
190,0,11510
190,0,11512
200,0,7763
190,0,7763
200,0,7787
190,0,7787
190,0,11514
190,0,11515
194,1,11483
193,1,8989
193,0,8989
194,1,10760
193,1,10760
200,1,7601
190,1,7601
200,1,7618
190,1,7618
200,1,7627
190,1,7627
194,0,13614
193,1,12375
193,1,12376
193,1,12377
193,1,12378
193,0,12379
193,1,10752
194,1,10754
193,1,10754
194,1,10759
193,1,10759
193,1,10762
193,1,10763
194,0,10765
194,1,10765
193,0,10765
193,0,10766
194,0,10768
193,0,10768
194,0,10770
193,0,10770
194,0,10771
193,0,10771
194,0,10772
193,0,10772
194,0,10773
193,0,10773
193,0,10775
193,0,10776
193,0,10778
194,1,2167
200,1,7646
190,1,7646
190,1,11504
200,1,8371
193,0,10764
194,0,10769
193,0,10769
194,1,13618
194,1,9600
193,1,9600
194,0,13584
193,1,10751
194,1,13619
194,0,13615
194,1,13615
200,0,8343
200,1,8370
200,1,8375
194,1,13616
200,1,8377
193,0,12382
190,1,11501
194,1,13617
194,0,13620
194,1,13620
190,1,11506
190,0,11511
190,0,11516
193,1,12880
193,0,12881
193,1,12881
193,0,12882
193,0,12883
194,0,5933
193,1,12760
194,1,2175
194,1,9633
193,1,9633
194,1,2169
190,0,11513
194,0,13585
194,1,10753
193,1,10753
194,0,10767
193,0,10767
194,0,6493
193,0,6493
200,0,10293
190,0,10293
193,0,12380
200,0,7774
190,0,7774
200,0,13123
190,0,13123
200,0,9299
190,0,9299
200,1,7606
190,1,7606
200,1,7608
190,1,7608
200,1,9303
190,1,9303
200,0,13124
200,0,13125
200,0,13126
200,0,13127
200,0,13128
200,0,13129
200,0,13130
200,1,13132
200,0,13132
200,1,13133
200,1,13134
200,1,13135
200,1,13136
200,1,13137
200,1,13138
200,1,13139
194,1,13597
194,1,10756
193,1,10756
193,0,12381
194,1,2171
193,1,3595
193,1,3596
193,0,12796
200,0,7777
190,0,7777
200,0,8345
